'NR_ZAWODOW','NR_ZAWODNIKA','REZULTAT_MIN','REZULTAT_SEK','POZYCJA','PUNKTY_GLOBALNE','PUNKTY_KATEGORII','POZYCJA_KATEGORIA','POZYCJA_GLOBALNIE','LOKATA_W_BIEGU'
3,463,37,39,1,38,44,7,13,13
3,467,50,9,1,,30,21,,98
3,469,46,21,1,,49,2,,74
3,470,43,47,1,,32,19,,56
3,471,64,45,1,,43,8,,140
3,478,45,8,1,,50,1,,62
3,485,52,9,1,,27,24,,108
3,489,51,47,1,,47,4,,105
3,535,51,38,1,,28,23,,104
3,536,46,1,1,,37,14,,71
3,538,46,17,1,,36,15,,73
3,542,55,47,1,,44,7,,129
3,544,50,1,1,,21,30,,97
3,570,43,16,1,1,33,18,50,50
3,572,46,24,1,,34,17,,75
3,596,52,6,1,,46,5,,107
3,598,41,2,1,16,47,4,35,35
3,605,47,50,1,,32,19,,85
3,606,46,44,1,,32,19,,80
3,608,52,54,1,,25,26,,117
3,609,52,51,1,,25,26,,116
3,611,45,45,1,,38,13,,65
3,612,45,59,1,,35,16,,70
3,614,42,45,1,4,34,17,47,47
3,616,33,56,1,50,50,1,1,1
3,618,48,56,1,,30,21,,91
3,619,43,58,1,,31,20,,58
3,620,55,41,1,,15,36,,128
3,621,46,43,1,,33,18,,79
3,623,42,39,1,6,40,11,45,45
3,624,61,5,1,,22,29,,138
3,627,40,41,1,20,42,9,31,31
3,637,51,54,1,,28,23,,106
3,645,40,16,1,23,50,1,28,28
3,647,44,14,1,,30,21,,61
3,648,50,21,1,,30,21,,100
3,651,48,57,1,,33,18,,92
3,656,64,20,1,,19,32,,139
3,663,38,44,1,31,46,5,20,20
3,668,40,44,1,19,41,10,32,32
3,681,43,40,1,,36,15,,54
3,682,48,20,1,,24,27,,87
3,684,54,14,1,,47,4,,120
3,687,52,49,1,,19,32,,114
3,688,52,11,1,,27,24,,109
3,689,59,23,1,,13,38,,136
3,690,39,47,1,24,43,8,27,27
3,691,40,27,1,22,40,11,29,29
3,693,67,30,1,,45,6,,142
3,694,49,13,1,,23,28,,93
3,695,45,46,1,,37,14,,66
3,700,54,23,1,,24,27,,121
3,716,39,32,1,27,42,9,24,24
3,726,42,4,1,10,38,13,41,41
3,727,37,34,1,39,47,4,12,12
3,728,42,43,1,5,44,7,46,46
3,733,47,38,1,,26,25,,83
3,740,34,12,1,48,50,1,3,3
3,741,42,32,1,7,35,16,44,44
3,745,46,9,1,,34,17,,72
3,746,52,21,1,,20,31,,111
3,763,45,50,1,,29,22,,68
3,775,66,10,1,,42,9,,141
3,776,51,37,1,,28,23,,103
3,780,59,53,1,,20,31,,137
3,788,35,12,1,45,47,4,6,6
3,802,43,39,1,,37,14,,53
3,805,51,36,1,,29,22,,102
3,810,47,45,1,,34,17,,84
3,822,52,50,1,,26,25,,115
3,827,41,23,1,14,50,1,37,37
3,840,34,34,1,46,48,3,5,5
3,844,47,18,1,,31,20,,81
3,845,44,0,1,,40,11,,59
3,862,50,0,1,,22,29,,96
3,870,50,25,1,,29,22,,101
3,871,43,46,1,,42,9,,55
3,920,54,4,1,,25,26,,119
3,924,39,29,1,28,44,7,23,23
3,928,37,20,1,40,48,3,11,11
3,930,57,15,1,,22,29,,133
3,934,41,3,1,15,39,12,36,36
3,936,42,12,1,8,36,15,43,43
3,950,48,44,1,,48,3,,89
3,969,37,59,1,35,45,6,16,16
4,4,55,17,1,30,44,7,21,21
4,9,57,9,1,27,42,9,24,24
4,11,47,36,1,43,48,3,8,8
1,1,60,6,1,11,47,4,40,40
1,3,44,20,1,45,48,3,6,6
1,4,63,9,1,5,40,11,46,46
1,7,43,55,1,46,49,2,5,5
1,8,59,48,1,12,44,7,39,39
1,9,60,14,1,10,41,10,41,41
1,10,51,10,1,28,42,9,23,23
1,11,49,45,1,35,48,3,16,16
1,12,51,53,1,25,40,11,26,26
1,13,45,59,1,42,46,5,9,9
1,14,48,5,1,38,45,6,13,13
1,16,63,37,1,4,43,8,47,47
1,17,68,37,2,,36,15,,51
1,18,64,12,2,2,37,14,49,49
1,19,64,12,1,3,44,7,48,48
1,21,54,15,1,23,46,5,28,28
1,22,59,31,1,14,43,8,37,37
1,23,59,21,1,15,44,7,36,36
1,24,55,47,1,19,48,3,32,32
1,26,65,34,1,1,42,9,50,50
1,27,56,17,1,18,39,12,33,33
1,30,63,5,1,6,38,13,45,45
1,31,50,22,1,30,47,4,21,21
1,33,61,2,1,8,42,9,43,43
1,34,51,52,1,26,41,10,25,25
1,37,47,11,2,41,50,1,10,10
1,38,49,59,1,33,47,4,18,18
1,39,69,16,1,,35,16,,52
1,40,59,18,1,16,43,8,35,35
1,41,48,40,1,36,50,1,15,15
1,42,50,33,1,29,43,8,22,22
1,43,49,58,1,34,47,4,17,17
1,44,43,24,1,47,49,2,4,4
1,45,52,44,1,24,49,2,27,27
1,47,54,22,1,22,45,6,29,29
1,48,50,8,1,31,44,7,20,20
1,49,48,13,1,37,48,3,14,14
1,52,47,33,1,40,49,2,11,11
1,53,61,51,1,7,45,6,44,44
1,54,54,31,1,21,45,6,30,30
1,59,51,16,1,27,46,5,24,24
1,60,40,41,1,50,50,1,1,1
1,61,45,15,1,43,49,2,8,8
1,62,60,21,1,9,46,5,42,42
1,75,58,13,1,17,45,6,34,34
1,93,49,59,2,32,46,5,19,19
1,97,59,32,1,13,42,9,38,38
1,98,47,50,1,39,48,3,12,12
1,104,44,24,1,44,47,4,7,7
1,145,42,20,1,48,50,1,3,3
1,173,41,54,1,49,50,1,2,2
1,182,55,31,1,20,44,7,31,31
1,202,50,48,1,,21,30,,165
1,203,48,22,1,,23,28,,145
1,204,48,11,1,,22,29,,141
1,205,32,29,1,48,48,3,3,3
1,206,50,20,1,,3,48,,160
1,207,45,37,1,,16,35,,113
1,208,69,34,1,,38,13,,221
1,209,57,20,1,,15,36,,202
1,210,42,54,1,,38,13,,78
1,211,45,50,1,,21,30,,116
1,212,49,53,1,,22,29,,158
1,213,48,31,1,,20,31,,147
1,215,37,26,1,26,39,12,25,25
1,217,49,57,1,,4,47,,159
1,218,41,31,1,,31,20,,63
1,219,43,56,1,,47,4,,94
1,220,50,40,1,,41,10,,164
1,221,36,53,1,30,45,6,21,21
1,222,36,34,1,34,48,3,17,17
1,224,32,8,1,49,49,2,2,2
1,225,46,46,1,,26,25,,129
1,226,46,43,1,,44,7,,128
1,227,50,22,2,,2,49,,161
1,228,54,48,1,,17,34,,189
1,229,43,18,1,,23,28,,83
1,230,48,36,1,,12,39,,148
1,231,54,27,1,,,,,185
1,233,57,22,1,,42,9,,203
1,234,33,55,1,42,44,7,9,9
1,235,38,18,1,15,35,16,36,36
1,236,50,30,1,,10,41,,163
1,237,47,0,1,,14,37,,132
1,238,52,45,1,,5,46,,179
1,239,40,16,1,1,33,18,50,50
1,240,42,15,1,,41,10,,72
1,241,44,38,1,,45,6,,101
1,242,45,22,1,,17,34,,111
1,243,39,18,1,6,35,16,45,45
1,244,41,58,1,,29,22,,65
